itemName,price,image,quantity
Authentic Microplush Deckside,54.5,https://images.vans.com/is/image/Vans/W4HLKZ-HERO?$496x496$,100
Trails Shorts,59.95,https://images.vans.com/is/image/Vans/H5EBLK-HERO?$496x496$,100
Station Camp Short,49.5,https://images.vans.com/is/image/Vans/W4T1RE-HERO?$496x496$,100
Rainee Crop Pants,49.5,https://images.vans.com/is/image/Vans/Z7FBLK-HERO?$496x496$,100
Suma Time Pants,54.5,https://images.vans.com/is/image/Vans/Z74S1J-HERO?$496x496$,100
Electric Blues Pants,64.5,https://images.vans.com/is/image/Vans/A1BBLK-HERO?$496x496$,100
ORBITAL,0.55,https://us.elementbrand.com/media/filter/m/img/26656754ccfa0b4ed0fb59423ec5301c.jpg,100
SECTION SKATEBOARD DECK,55,https://us.elementbrand.com/media/filter/m/img/bdlgmsec_ast_1.jpg,100
SIAMESE DENNIS AND ALEX,55,https://us.elementbrand.com/media/filter/m/img/b078fe590eb093d9080b348473a57315.jpg,100
FOS TOTEM CUSTOM DECK,55,https://us.elementbrand.com/media/filter/m/img/be63ec3e627b0c0c27e6212acddc725f.jpg,100
NYJAH TIL DEATH,55,https://us.elementbrand.com/media/filter/m/img/a992b360cfb32aa77611337a28df233e.jpg,100
TWIGS LOGO DECK,55,https://us.elementbrand.com/media/filter/m/img/7977f68b6f11ab5e1005890a7b2486cc.jpg,100
JAAKKO KARHU,55,https://us.elementbrand.com/media/filter/m/img/ae9720a586578d4b836f649faf224f86_2.jpg,100
FREDITANO PROJECT CRUISER,55,https://us.elementbrand.com/media/filter/m/img/7c99ba6e69ac719f50a43d1e67205ead.jpg,100
SIAMESE JARNE AND PHIL,55,https://us.elementbrand.com/media/filter/m/img/5672b090566c1a901da85fba530b185d.jpg,100
FREDITANO PROJECT NICK GARCIA,55,https://us.elementbrand.com/media/filter/m/img/936f2ad20e7e4ca7eae7f1e7f7e9eb6a.jpg,100
OBEY Peace Plane Deck,79.1,https://rlv.zcache.com/obey_peace_plane_deck-ra0b0f5ac4d734719bf873614d4d485d1_xw0kp_8byvr_261.jpg?rvtype=content,100
StellaRoot Elephant Vintage,68.65,https://rlv.zcache.com/stellaroot_elephant_vintage_burnt_damask_skateboard-rba4513c4468d4e129a1da4394105f5c2_xw0kb_8byvr_307.jpg,100
